id,description,group,is_super,created_at,updated_at,deleted_at
1z9Sv2fC1ALXdM80L0QHs9c3HLDoAOO8,Crear Roles,SEGURIDAD/ROLES,0,"2021-01-01 20:00:00",NULL,NULL,
G8aCoYYCgE8fAwegn0MvWjxMXhxIIrhy,Seleccionar Permiso,SEGURIDAD/PERMISOS,0,"2021-01-01 20:00:00",NULL,NULL,
lJFsnYJCnFcVPVBBUOQrmlv3b6Y2X2ZE,Crear Usuarios,ADMIN/USUARIOS,0,"2021-01-01 20:00:00",NULL,NULL,
m0D4LIsO7V79aDueMDjgWGOmp8mPW6c0,Seleccionar Rol,SEGURIDAD/ROLES,0,"2021-01-01 20:00:00",NULL,NULL,
n5TraVIrRoioG1kqdHsIaZLYDvxO8MFD,Eliminar Usuarios,ADMIN/USUARIOS,0,"2021-01-01 20:00:00",NULL,NULL,
nrPqEhq2TX0mI7qT7glaOCJ7Iqx2QtPs,Ver Roles,SEGURIDAD/ROLES,0,"2021-01-01 20:00:00",NULL,NULL,
nTSk4Y4SFKMyQmRD4ku0UCiNWIDe8OEt,Ver Usuarios,ADMIN/USUARIOS,0,"2021-01-01 20:00:00",NULL,NULL,
QpKVz00WUbZVJMPFu3iBNGBTdMFYubQ2,Eliminar Roles,SEGURIDAD/ROLES,0,"2021-01-01 20:00:00",NULL,NULL,
RGMUpFAiRuv7UFoJroHP6CtvmpoFlQXl,CRUD Permisos,SEGURIDAD/PERMISOS,1,"2021-01-01 20:00:00",NULL,NULL,
v216XcAzgbt4mIjj6gZP2rdRTupXz0AO,Editar Roles,SEGURIDAD/ROLES,0,"2021-01-01 20:00:00",NULL,NULL,
W8Xmv3hiIyIpkZfJMaL9MsRxxuSIiO5R,Editar Usuarios,ADMIN/USUARIOS,0,"2021-01-01 20:00:00",NULL,NULL,
